id,title,url,curator,Notes/comments/questions,Map territory,Close to,logo image url,homepage image url,description,key concepts,methods,locations,start,end,main sector,sector 2,sector 3 ,main activity,activity 2 ,activity 3 ,size,learning resources,connections,key people,theory of change,,,,,status
blivande,Blivande,https://www.blivande.com/,Danielle,co-working/creation collective-would this be considered and intentional community on map?,,,https://drive.google.com/file/d/1FGHuPY8kMGWNDY3NaWuZO7BSFwCEKMgq/view?usp=drive_link,https://drive.google.com/file/d/1Xe19siuCrT19CIlnOkcooP5AfpYHBbba/view?usp=drive_link,"“Blivande as a platform is co-designed and stewarded by its members. We develop into the direction those involved put energy in. Participatory culture, events, art and design, urban placemaking and civic action-based initiatives are paths that have crystallised so far. Our intention is to remain open to future unknowns and establish a place in Stockholm that supports nascent ideas by sharing risks and providing the budding crews with an ecosystem of kind and talented professionals to realise their dreams. We want to create a playground for ideas and dialogue countering polarisation and invite national and international actors to establish collaborative relationships devoid of a competition mindset.

Our space is an independent contributor to culture, policy innovation and urban development in Stockholm. We concentrate the effort towards our immediate surroundings, working from the inside-out while staying updated through national and international partners and networks and connected with contemporary social challenges. Through enabling rapid use of our physical spaces, we have so far supported two large civic actions focused on leveraging effects of the Covid-19 pandemic and providing a community centre for Ukrainian refugees.  Blivande wants to give more and proof that a creative cluster can be a responsible and self-sustaining civil society institution. Our community network has a multitude of different resources and types of capital that can be leveraged towards current societal needs. We are creating an environment that inspires to action.

Humanity has and will continue to be facing intimidating challenges in the coming centuries. We need spaces that combine the possibility to talk maturely about our collective grief and confusion while providing avenues to channel that energy into action. Bottom-up initiatives like Blivande can complement top-down systems through providing a nest for social innovation, systemic experimentation and active hope. We believe we are not in need of a single utopian future but a multitude of realistic futures to accommodate the diverse populations of our city. This requires a great deal of imagination, openness and bravery. No organisation, individual or business can do it alone. As a collective, we support each other to dare to manifest our ideas into reality thus prototyping our version of an interdependent and responsible future.

In the spirit of participation and do-ocracy, we are currently implementing a renewed legal organisational form. We are working on an “Exit to Community”, transforming the not-for-profit company into a legal structure supporting communal ownership. Those that invest most time in developing the platform should be able to steward it. Being a steward of Blivande grants benefits, but also comes with responsibilities and sharing certain risks. However, you don’t have to be steward to influence the space. Collaborative decision making, co-budgeting and financial transparency permeate the project through various levels of involvement such as grant allocating for infrastructure developments, decision making about tool purchases for the atelier or curation of the art and culture program at Frihamnstorget.

In the centre of all the chaos and beauty, there are our people. Without that heart, we would only be a beautiful corpse. There wouldn’t be anything without all the individuals that decide to spend their time and work at Blivande. The house is inhabited by a genuine and caring crowd that constantly pushes for inclusion of the different and embraces the challenge of what that entails. This third space - neither fully private nor fully public - is becoming a home to its members and a source of meaning and solidarity for many. We like to juggle the complicated world between the professional and the personal with the aim to unravel a beneficial development of relationships, collaborations and organisations within our ecosystem. We believe that interdependence is a good complement to societies hyper-individualism and are curious to explore its implication.

It is our outermost priority to stay an institution with heart and minimal bureaucracy. Over the past years, Blivande has gained a higher degree of expert professionalism having started from a small group of friends with the habit of reinventing the wheel on each occasion. Now we are at the point where our core activities are financially viable and independent. As the community reaches maturity and the organisation antifragility, we aspire to unlock the capacity for the larger core team to prioritise outreach, cross-sectorial collaborations and to be more overtly political. In what form, is yet to be seen. We hope to be contributors of fundamental rather than decorative societal change. Ideally, without stopping to be a place for weird motherfuckers.”

https://www.blivande.com/vision/vision
",,,"Stockholm, Sweden",2018,present,Arts & Culture,,,Community Spaces,,,4-10,,,,,,,,,✅
brahma-kumaris,Brahma Kumaris,https://www.brahmakumaris.org/,Danielle,Largest spiritual organization in world that is led by women,Spiritual & Contemplative Traditions,,https://drive.google.com/file/d/1NjN8j0E8n2YWdmGJ7KSnPYLiE8_9i08O/view?usp=drive_link,https://drive.google.com/file/d/1D9qTgxAaekSnbUGPP5xwE9lD-8THhQYu/view?usp=drive_link,"“Brahma Kumaris is a worldwide spiritual movement dedicated to personal transformation and world renewal. Founded in India in 1937, Brahma  Kumaris has spread to over 110 countries on all continents and has had an extensive impact in many sectors as an international NGO. However, their real commitment is to helping individuals transform their perspective of the world from material to spiritual. It supports the cultivation of a deep collective consciousness of peace and of the individual dignity of each soul.”

https://www.brahmakumaris.org/about-us/introduction
","meditation, wisdom",,"Mount Abu, India",1937,present,Spirituality & Religion,,,Events & Retreats,Education & Training,,101+,"https://www.brahmakumaris.org/discovery/articles-blog/articles
https://www.brahmakumaris.org/discovery/ebooks",,,,,,,,✅
business-plan-for-peace,Business Plan for Peace,https://thebusinessplanforpeace.org/,Elisa; Catherine,5 - focus on inner work and relationality; rigorous and evidence-based; inner/outer threshold ,Relational Practices,,https://drive.google.com/file/d/1vLaPYs1o1iAS1F_m3a11F002ZWOxevdp/view?usp=drive_link,https://drive.google.com/file/d/13rsqHEsJG6ajTib0HOs2lb5RZl6PkSdK/view?usp=drive_link,"""Business Plan for Peace provides the skills and support to transform destructive conflict and build sustainable peace personally, locally, internationally.

We support people to develop the inner practices that make their work in the world far more effective. We work with communities, decision-makers and business leaders to develop competence, confidence and commitment to transform conflict and invest in peace.""

https://thebusinessplanforpeace.org/",inner work; conflict transformation,*Mighty Heart in Action (https://mightyheart.co.uk/) ,"London, UK",Not found,present,Relations & Peace,Economics & Business,,Education & Training,,,4-10,"- The Mighty Heart in Action (a 10-week course): https://mightyheart.co.uk/ 

- The Missing Peace: Business as the change for good (report): https://drive.google.com/file/d/1FSQJUUfsb5WX8IOs2S9wHVCNBN1b6bjs/view?usp=drive_link 

- Their latest books and reports: https://thebusinessplanforpeace.org/resources/.  ",Founder Dr. Scilla Elworthy is also the Co-founder of FemmeQ,"Dr. Scilla Elworthy, Founder",,,,,,✅
center-for-humane-technology,Center for Humane Technology,https://www.humanetech.com/,Elisa,"4 - metacrisis, wisdom gap",Ethical Tech,,https://drive.google.com/file/d/19YWYmFIjaVKqB28xBbCDj2fMGIltMuyq/view?usp=drive_link,https://drive.google.com/file/d/1M4cqLtqiTAhbrkJd8j3ikePgGwxo2Ukt/view?usp=drive_link,"""Together with our partners, the Center for Humane Technology (CHT) is dedicated to radically reimagining our digital infrastructure. Our mission is to drive a comprehensive shift toward humane technology that supports our well-being, democracy, and shared information environment.

From the dinner table to the corner office to the halls of government, our work mobilizes millions of advocates, technologists, business leaders, and policymakers through media campaigns, working groups, and high-level briefings.""

https://www.linkedin.com/company/the-center-for-humane-technology",artificial intelligence;runaway technology; catastrophic risk; existential risk; metacrisis; wisdom gap,,"San Francisco, California",2013,present,Science & Technology,Infrastructure & Resources,Education & Learning,Advocacy & Activism,Consulting & Advisory,Education & Training,21-50,"-""The Social Dilemma"" documentary",,Tristan Harris; Aza Raskin,,,"wisdom gap = the gap between our sense-making ability and issue complexity

https://www.youtube.com/watch?v=v3F5Hsua4J4",,"Our mission is to shift technology towards a more humane future that supports our well-being, democratic functioning, and shared information environment.",✅
centre-for-human-emergence,Centre for Human Emergence,https://www.humanemergence.nl/en/,Boaz; Elisa,2 - integral; paradigm shift,Integral,,https://drive.google.com/file/d/1eK7wkVbxaECO2kZin5U8mNGLujg-ePkP/view?usp=drive_link,https://drive.google.com/file/d/11jBTiVv_N9qG1lZuLiNpbjSIoY0PxrA0/view?usp=drive_link,"""The CHE (Center for Human Emergence) is based on the realization that unity is self-evident and that the current complexity calls for an entirely new paradigm, which transcends and includes everything we know so far. That is why the CHE is investigating how Integral leadership can contribute to social innovation and can provide a solid basis for the realization of everyone's personal mission. We wholeheartedly invite you to participate and use your talent.""

https://www.humanemergence.nl/en/",integral; new paradigm; leadership; complexity; development,Integral perspective; spiral dynamics,"Utrecht, Netherlands",2021,present,Education & Learning,,,Advocacy & Activism,Events & Retreats,Research,4-10,,,"Peter Merry
Leida Schuringa
Lars Lutje Schiphol
Sumadi Bambang Oetomo
Peter Merry
Cle Burgers
Annelies Weijschede
Leida Schuringa",,"problems that have resulted from our successes in recent decades (e.g. climate crisis, the (political) polarization in society, the loss of biodiversity...); 

https://www.humanemergence.nl/en/wat-is-che/",our ways of thinking and acting,"""developing new, more complex and creative ways of thinking and acting"" 

https://www.humanemergence.nl/en/wat-is-che/",,✅
club-of-budapest,Club of Budapest,https://www.clubofbudapest.com/,Ola; Catherine,it seem to be a mainstream org with a global focus on sustainable action,Integral,,https://drive.google.com/file/d/1ThfdORFkKap1ZajCEUoW1xHAQSkM3ie3/view?usp=drive_link,https://drive.google.com/file/d/1a58DigZnbmleUMtShSGice5v3hozyuTC/view?usp=drive_link,"""Founded in 1993, the Club of Budapest is an informal international association dedicated to developing a new way of thinking and a new ethics that will help resolve the social, political, economic, and ecological challenges of the 21st century. With its roster of internationally renowned members, the Club initiates a dialogue between different belief systems and worldviews in order to co-create and develop effective strategies for responsible and sustainable action with a global focus.""

""The Mission of the Club of Budapest is to be a catalyst for the transformation to a sustainable world through promoting the emergence of planetary consciousness and interconnecting generations and cultures. The philosophy of the Club of Budapest is based on the realization that the enormous challenges that humanity is currently facing can only be overcome through the development of a global cultural consciousness with a global perspective.

The Club perceives itself as a builder of bridges between science and art, ethics and economy, between old and young, as well as between the different cultures of the world. One of the prime objectives of the work of the Club is the initiative ""You can Change the World"".""
https://www.clubofbudapest.com/our-mission",planetary consciousness ,,"Budapest, Hungary",2013,present,Spirituality & Religion,Relations & Peace,,Convening & Coordination,Events & Retreats,Research,11-20,,,"Ervin Laszlo, Founder",See their 'Manifesto on Planetary Consciousness': https://drive.google.com/file/d/1FVg7yMUeuqDxnw68BUbRfo6Gp1dvR6OI/view?usp=drive_link ,,,,,✅
coasys,Coasys,https://coasys.org/,Elisa,"4 - collective intelligence, sensemaking, metacrisis",Web3,,https://drive.google.com/file/d/1rQHiVgZgasJNH2LfHeMopI52j5ED7-Yq/view?usp=drive_link,https://drive.google.com/file/d/1UKNctN1MkMi51QyAz9OZw18Kz6BS7gpR/view?usp=drive_link,"""Coasys offers a contribution to the public’s capacity to sense-make as a collective by providing the infrastructure for an open, interoperable web, a collaboratively curated knowledge graph, as well as the tools to improve our ability to find and share reliable information and coordinate effectively at any scale or complexity.  By doing so, it tries to approach the meta-crisis with pragmatic technological upgrades to our society's digital communication infrastructure.""

https://coasys.org/Coasys_whitepaper.pdf 

""We are developing a search (and reward) engine, the Synergy Engine, where data with provenance becomes an asset, spawning a new information ecosystem.""

https://coasys.org/",collective intelligence; sensemaking; metacrisis,,Marshall Islands,2023,present,Science & Technology,,,"Design, Development & Innovation",,,4-10,,Symphonics is a partner,,,,,,,✅
collective-abundance,Collective Abundance,https://www.collectiveabundance.org/,Catherine,"Core values (Solidarity, embrace complexity, openness, courage, joy) suggest inner-led/integrative approach. See climate crisis as a social/systemic issue not just a scientific/ecological issue. Small and new org. 6 for closeness to centre.",Alternative Economics,,https://drive.google.com/file/d/1fbhAZBusOTLhjcACOAUTmalojNXq9XJH/view?usp=drive_link ,https://drive.google.com/file/d/1oTbGqKQvCU4TnLD7KcR5tkruzpJtRXA6/view?usp=drive_link ,"""Collective Abundance is a new collaborative initiative, working to change the way philanthropy redistributes wealth to climate justice organisers in Europe and building collective organised power amongst those working on the frontlines of the climate crisis.

WHAT WE DO: Shifting European philanthropy from a climate change to a climate justice agenda.
We want to support a just and reparative redistribution of philanthropic wealth in order to help build collective power amongst those working to address the root causes of the climate crisis, and their related impacts.""

https://www.collectiveabundance.org/",climate justice,,Europe,2023,present,Economics & Business,Justice & Restoration,,Funding,Advocacy & Activism,Convening & Coordination,4-10,,"A pilot project that grew out of Leap Collective.
Initial funding from the Robert Bosch Foundation.",,,,,,,✅
collective-leadership-institute,Collective Leadership Institute,https://www.collectiveleadership.de/,Catherine,"7. Looking at the projects they're working on, quite traditional sustainability systems stuff. ",Relational Practices,,https://drive.google.com/file/d/1vwtxKssmriQ3bHvDcpBiL-H8rap7u7YY/view?usp=drive_link,https://drive.google.com/file/d/14y0VJaooKg1FRN9rjiUaHCu3EbB9tOR_/view?usp=drive_link,"""The Collective Leadership Institute is a cutting-edge organization with deep expertise in bringing emerging paradigm leadership concepts to multi-stakeholder processes and projects in support of achieving the Sustainable Development Goals. [...]

OUR VISION

Our vision is to empower future-oriented people to lead collectively towards a sustainable future.

Sustainability is a truly global issue. How well we meet that challenge, success and failure in moving towards a more sustainable way of living, affects everybody. We believe in the principle of cooperation and collectively created solutions – across sectors, institutions, nations, and cultures.

OUR MISSION

With our Collective Leadership Academy, our Transformation Stewardship, our Collective Leadership Hubs Network, and our Research and Thought Leadership, we build competence for sustainability. We empower leaders who anchor their action in the concern for the greater good and the future of humankind on this planet – for responsible business, people-oriented public service, and a strong civil society.

We build a global community for change by activating networks and fostering mutual support among change agents.

We empower people globally to use our methodology of dialogic change and collective leadership for sustainability.""

https://www.collectiveleadership.de/blog/article/about-cli/ ",emerging paradigm; sustainability; collective leadership,*Dialogic Change model (https://www.collectiveleadership.de/blog/article/the-dialogic-change-model/); SDGs,Germany; South Africa,2005,present,Governance & Community,"Environment, Food & Water",,Education & Training,Consulting & Advisory,Research,11-20,"- http://www.stakeholderdialogues.net/: a learning space that is directed towards practitioners from the private sector, the public sector, and civil society organizations who are working on sustainable development issues with multiple stakeholders. Includes an online textbook and toolbox for their dialogic change and collective leadership methodology. 
- Publications related to collective leadership: https://www.collectiveleadership.de/blog/article/books/ ",,,,,,,,✅
comunità-di-etica-vivente,Comunità di Etica Vivente,https://www.comunitadieticavivente.org/,Elisa,4 - intentional community / ecovillage focusing on personal / spiritual development experimenting with different ways of living; seems quite grounded and pragmatic; not much emphasis on connecting their work with problems in the wider world,Intentional Community,,https://drive.google.com/file/d/1b3aDKmXj4SwNZzSGE6sCNSc9fbn4mjle/view?usp=drive_link,https://drive.google.com/file/d/1vAn5BUl3PJOOZuHolSEMMAG77g4U8QYn/view?usp=drive_link,"The Community of Living Ethics is a cultural, aconfessional and apolitical non-profit association founded in 1981 by Sergio Bartoli and a group of 11 friends, all psychosynthesisers. The intent was the creation of a Psychosynthesis Community in the farmhouse of Poggio del Fuoco, which soon began hosting courses related to psychosynthetic personal development and creative meditation. The community is based on study, meditation, service and group life.

The Community contains, even if in miniature, all aspects of human life. Over the years, activities have arisen in all fields, both daily (cooking, administration, care of land, gardens and farmhouses...) and aimed at developing consciousness (art, science, education, culture). It therefore tends to integrate the great visions proposed by the teachings, with daily human life [...].

With time and thanks to the contribution of many, seven farmhouses and two villages have been developed, spread over an area of 25 km.

(Translated from: https://www.comunitadieticavivente.org/chi-siamo/)",evolution of consciousness; community; inner development; ecovillage; meditation; pyschosynthesis,psychosynthesis; creative meditation,"Città della Pieve, Italy",1981,present,Governance & Community,Education & Learning,Health & Wellbeing,Community Spaces,Education & Training,Events & Retreats,4-10,,,,,,,,,✅
comunità-rigenerative,Comunità rigenerative,https://www.comunitarigenerative.it/,Elisa,"Main activity should be land regeneration / agriculture. Intentional community with a focus on self-sufficiency / regenerative lifestyle, and inner work. They see their project as a response to global crises, experimenting with alternative ways of living - 4",Intentional Community,,https://drive.google.com/file/d/1L1LfDeVYN0jpH0lV-LbZiVFOxCb1fnHU/view?usp=drive_link,https://drive.google.com/file/d/1lyfiDIwwBo33xG76W7V9G1c8iygULB-v/view?usp=drive_link,"""We co-create multiple cells of resilience. We rebuild communities in alpine hamlets, both those completely abandoned and those still partially alive. We are working to repopulate fields of food and hope, recovered from brambles and collapsed walls, and houses lost to neglect. We are in places of rebirth and regeneration where we have already begun to live as if the world of our dreams were already here. We rebuild communities, creating food, energy, social self-sufficiency. There is no more time to waste if we are to begin to live truly in harmony with the planet and each other. Doing it together is our only hope.""

https://comunitarigenerative-drive.mycozy.cloud/public?sharecode=15HQNhHNEOSv",resilience; eco-community; self-sufficiency; gift economy; alternative economics; nonviolent communication,,"Calasca Castiglione, Italy",2021,present,"Environment, Food & Water",Governance & Community,Economics & Business,Community Spaces,"Design, Development & Innovation",,4-10,,,,,"Global crises (climate, ecological, social, geopolitical).

https://www.comunitarigenerative.it/il-sogno-nel-dettaglio/",,"""We have already begun to build active, resilient local communities that together will better respond to the crises already underway and those to come. [...] To do this, we roll up our sleeves and work the land and our minds, sow vegetables and cultivate emotions. Open to other local communities, rooted in the land, creating a different economy. Together. To change the world, we want to start with us. We are all we need.""

https://comunitarigenerative-drive.mycozy.cloud/public?sharecode=15HQNhHNEOSv",,✅
council-of-european-grandmothers,Council of European Grandmothers,https://councileugrandmothers.eu/,Lauren; Catherine,I wasn't 100% sure on the sector. Love this honouring of elder wisdom and it being a female led initative.,Wisdom,,https://drive.google.com/file/d/1UzJ1UY8sv1dIzpGBccP7enhYakSjUo5r/view?usp=drive_link ,https://drive.google.com/file/d/1GeIBFo7HlYEvjebfaU5qZYzTHulDrnFH/view?usp=drive_link ,"""We are Elder Women who have decided to form a Council of nurturing power, natural wisdom and willingness to do our part to support, achieve and maintain a healthy living environment – in our time, for the children, grandchildren and future generations.

From our perspective, everyone deep inside has access to her/his natural wisdom that knows what to do in every breath, to support the living system on Earth. Our intentional vision is to support that capacity and encourage people to perceive and use their wisdom.  

Every nine months we meet in one of our European countries. At each meeting we focus on a special topic and also spotlight local projects related to this. Together with guests and visitors we share, inspire and strengthen a field of peace and acceptance where inner wisdom arises. This supports the living system where we all belong. 

We call ourselves The Council of European Grandmothers.""

https://councileugrandmothers.eu/ ",inner wisdom; future generations; living systems; traditional/indigenous wisdom,,Europe,2015,present,Governance & Community,Relations & Peace,Spirituality & Religion,Events & Retreats,,,11-20,,,,,,,,,✅
deep-transformation-network,Deep Transformation Network,https://deeptransformation.network/discovery,Elisa; Catherine,6,Metacrisis,,https://drive.google.com/file/d/1KH4ugSGFvslVhDWBCH5GKNnTG0CDiNMl/view?usp=drive_link,https://drive.google.com/file/d/1FJg0I5RjcmORL7Bo4-j7O3ADrJJzs99h/view?usp=drive_link,"A Mighty Network community.

""Welcome to the Deep Transformation Network. If you care about helping shift our civilization toward a flourishing future, this is YOUR network!

By joining, you become part of an online community of open-hearted, caring, people from around the world who recognize that our civilization is in existential crisis—and who want to engage with others in facilitating a deep transformation toward a life-affirming future on a regenerated Earth.

This is a public network, welcoming people from diverse backgrounds, ethnicities, and cultural traditions. It’s free for everyone, and will be funded on a donation basis.

Here’s a summary of who we are:

Identity | We are a community sharing deep concern about our civilization’s direction, with an intention to engage constructively to change its trajectory.

Purpose | To help amplify the forces for Deep Transformation that could set humanity on a path of future flourishing on a regenerated Earth.

Values | With reverence for the dignity and interdependence of all beings, we seek life-enriching symbioses within human society and within the planetary matrix that sustains us all.""

https://deeptransformation.network/posts/new-member-guidelines-please-read-this-first",civilization shift; flourishing future; regeneration; interdependence; ecological civilization; worldview shift,,Online,Not found,present,"Environment, Food & Water",,,Convening & Coordination,,,,,,Jeremy Lent,"Jeremy Lent, 'What does an Ecological Civilization look like?': https://www.yesmagazine.org/issue/ecological-civilization/2021/02/16/what-does-ecological-civilization-look-like ",,,,,✅
